"Occurences","Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","Ortho_N","Phono_N","Freq_N","BG_Sum","BG_Mean","NPhon","NSyll","NMorph","POS"
"1","being","5","712","362268","12.80","1","15","10.94","25988","6497.00","4","2","2","VB|NN"
"1","bell","4","18","24815","10.12","15","45","9.50","9490","3163.33","3","1","1","NN"
"1","bells","5","8","2899","7.97","16","37","7.50","10658","2664.50","4","1","2","NN"
"1","belong","6","37","14806","9.60","0","0","NULL","25539","5107.80","5","2","1","VB|JJ"
"1","below","5","145","90658","11.41","0","16","NULL","9902","2475.50","4","2","1","minor|NN"
"1","belt","4","29","10820","9.29","13","19","8.30","6324","2108.00","4","1","1","NN"
"1","belts","5","8","2336","7.76","11","11","5.79","9051","2262.75","5","1","2","NN"
"1","Ben","3","21","22159","10.01","25","52","8.55","9125","4562.50","3","1","1","NN"
"1","Ben's","5","1","498","6.21","5","38","5.61","11297","2824.25","4","1","2","encl"
"1","bench","5","35","5360","8.59","6","10","6.95","14947","3736.75","4","1","1","NN"
"1","bend","4","24","6891","8.84","14","26","7.92","12341","4113.67","4","1","1","NN|VB"
"1","BENNY","5","NULL","1206","7.10","5","24","7.78","10297","2574.25","4","2","2","NN"
"1","BENSON","6","NULL","2567","7.85","0","2","NULL","23115","4623.00","5","2","2","NN"
"1","bent","4","34","8475","9.04","18","23","8.49","14476","4825.33","4","1","1","VB|NN|JJ"
"1","Bert","4","1","2389","7.78","12","45","7.68","17017","5672.33","3","1","1","NN"
"1","beside","6","78","6896","8.84","2","3","5.64","24293","4858.60","5","2","2","minor"
"1","BESS","4","NULL","320","5.77","17","32","7.69","18463","6154.33","3","1","1","NN"
"1","BESSIE","6","NULL","257","5.55","2","15","4.96","25757","5151.40","4","2","2","NN"
"1","best","4","351","269708","12.51","17","28","8.22","22163","7387.67","4","1","1","JJ|RB"
"1","bet","3","20","29909","10.31","21","43","10.03","4914","2457.00","3","1","1","NN|VB"
"1","Beth","4","5","5137","8.54","5","19","9.02","7423","2474.33","3","1","1","NN"
"1","bets","4","3","3245","8.08","21","30","7.49","7641","2547.00","4","1","2","NN|VB"
"1","BETSY","5","NULL","1472","7.29","1","0","8.11","8037","2009.25","5","2","1","NN"
"1","better","6","414","284711","12.56","10","19","6.62","28170","5634.00","4","2","1","JJ|RB|NN|VB"
"1","Betty","5","3","3316","8.11","5","24","6.58","7551","1887.75","4","2","2","NN"
"1","beware","6","3","5609","8.63","0","0","NULL","18106","3621.20","5","2","1","VB"
"1","beyond","6","175","43775","10.69","0","2","NULL","14181","2836.20","5","2","1","minor|NN"
"1","big","3","360","178681","12.09","19","28","8.50","2957","1478.50","3","1","1","JJ"
"1","bigger","6","34","19124","9.86","6","15","5.45","19029","3805.80","4","2","2","JJ"
"1","bike","4","NULL","22527","10.02","12","34","7.48","3394","1131.33","3","1","1","NN|VB"
"1","bikes","5","NULL","5319","8.58","10","27","5.50","16130","4032.50","4","1","2","NN|VB"
"1","bill","4","143","116919","11.67","17","52","8.34","8299","2766.33","3","1","1","NN|VB"
"1","Bill's","6","5","1822","7.51","2","40","2.87","10214","2042.80","4","1","2","encl"
"1","bills","5","47","10428","9.25","16","40","6.42","9467","2366.75","4","1","2","NN|VB"
"1","Billy","5","26","10729","9.28","11","43","7.05","12184","3046.00","4","2","2","NN"
"1","bin","3","9","15831","9.67","21","54","9.06","15979","7989.50","3","1","1","NN|VB"
"1","bird","4","31","19070","9.86","5","48","6.62","4266","1422.00","3","1","1","NN"
"1","bird's","6","1","594","6.39","1","21","3.33","6190","1238.00","4","1","2","encl"
"1","birds","5","57","14487","9.58","4","21","3.81","5361","1340.25","4","1","2","NN"
"1","bit","3","101","159206","11.98","19","46","9.43","5428","2714.00","3","1","1","NN|VB"
"1","bite","4","10","8162","9.01","12","43","7.52","13975","4658.33","3","1","1","NN|VB"
"1","bites","5","8","2886","7.97","10","32","6.71","26711","6677.75","4","1","2","NN|VB"
"1","biting","6","6","2397","7.78","4","27","5.55","38038","7607.60","5","2","2","VB"
